# x_m,y_m,w_tr_right_m,w_tr_left_m
12.3493,4.9998,1.8742,1.8742
12.2993,4.9998,1.8668,1.8668
12.2493,4.9998,1.8608,1.8608
12.1993,5.0498,1.8062,1.8062
12.1493,5.0498,1.8028,1.8028
12.0993,5.0498,1.8007,1.8007
12.0493,5.0498,1.8000,1.8000
11.9993,5.0998,1.7500,1.7500
11.9493,5.0998,1.7500,1.7500
11.8993,5.0998,1.7500,1.7500
11.8493,5.0998,1.7500,1.7500
11.7993,5.0998,1.7500,1.7500
11.7493,5.1498,1.7000,1.7000
11.6993,5.1498,1.7000,1.7000
11.6493,5.1498,1.6978,1.6978
11.5993,5.1498,1.6867,1.6867
11.5493,5.1498,1.6771,1.6771
12.3493,5.0498,1.8248,1.8248
12.3993,5.0998,1.7847,1.7847
12.3993,5.1498,1.7357,1.7357
12.4493,5.1998,1.6978,1.6978
12.4993,5.2498,1.6621,1.6621
12.5493,5.2998,1.6286,1.6286
12.5493,5.3498,1.5811,1.5811
12.5993,5.3998,1.5508,1.5508
12.6493,5.4498,1.5182,1.5182
12.6993,5.4498,1.5297,1.5297
12.7493,5.4498,1.5403,1.5403
12.7993,5.4998,1.5042,1.5042
12.8493,5.4998,1.5182,1.5182
12.8993,5.4998,1.5338,1.5338
12.9493,5.4998,1.5508,1.5508
12.9993,5.5498,1.5232,1.5232
13.0493,5.5498,1.5435,1.5435
13.0993,5.5498,1.5652,1.5652
13.1493,5.5498,1.5811,1.5811
13.1993,5.5998,1.5508,1.5508
13.2493,5.5998,1.5692,1.5692
13.2993,5.6498,1.5435,1.5435
13.3493,5.6498,1.5652,1.5652
13.3993,5.6498,1.5882,1.5882
13.4493,5.6998,1.5692,1.5692
13.4993,5.6998,1.5882,1.5882
13.5493,5.7498,1.5652,1.5652
13.5993,5.7498,1.5882,1.5882
13.6493,5.7998,1.5652,1.5652
13.6993,5.7998,1.5882,1.5882
13.7493,5.8498,1.5652,1.5652
13.7993,5.8498,1.5882,1.5882
13.8493,5.8998,1.5692,1.5692
13.8993,5.8998,1.5882,1.5882
13.9493,5.9498,1.5811,1.5811
13.9993,5.9498,1.5811,1.5811
14.0493,5.9998,1.5953,1.5953
14.0993,5.9998,1.5692,1.5692
14.1493,6.0498,1.5882,1.5882
14.1993,6.0998,1.6008,1.6008
14.2493,6.1498,1.6101,1.6101
14.2993,6.1998,1.6101,1.6101
14.3493,6.2498,1.6008,1.6008
14.3493,6.2998,1.5945,1.5945
14.3993,6.3498,1.6008,1.6008
14.4493,6.3998,1.6101,1.6101
14.4493,6.4498,1.5811,1.5811
14.4993,6.4998,1.5953,1.5953
14.4993,6.5498,1.5692,1.5692
14.5493,6.5998,1.5882,1.5882
14.5493,6.6498,1.5652,1.5652
14.5993,6.6998,1.5882,1.5882
14.5993,6.7498,1.5652,1.5652
14.5993,6.7998,1.5435,1.5435
14.6493,6.8498,1.5652,1.5652
14.6493,6.8998,1.5435,1.5435
14.6493,6.9498,1.5232,1.5232
14.6493,6.9998,1.5042,1.5042
14.6493,7.0498,1.4866,1.4866
14.6993,7.0998,1.5182,1.5182
14.6993,7.1498,1.4983,1.4983
14.6993,7.1998,1.4773,1.4773
14.6993,7.2498,1.4577,1.4577
14.6993,7.2998,1.4396,1.4396
14.6993,7.3498,1.4230,1.4230
14.7493,7.3998,1.4560,1.4560
14.7493,7.4498,1.4431,1.4431
14.7493,7.4998,1.4318,1.4318
14.7493,7.5498,1.4221,1.4221
14.7993,7.5998,1.4637,1.4637
14.7993,7.6498,1.4577,1.4577
14.7993,7.6998,1.4534,1.4534
14.7993,7.7498,1.4509,1.4509
14.7993,7.7998,1.4500,1.4500
14.8493,7.8498,1.5000,1.5000
14.8493,7.8998,1.5000,1.5000
14.8493,7.9498,1.5000,1.5000
14.8493,7.9998,1.5000,1.5000
14.8493,8.0498,1.5000,1.5000
14.8993,8.0998,1.5500,1.5500
14.8993,8.1498,1.5500,1.5500
14.8993,8.1998,1.5500,1.5500
14.8993,8.2498,1.5500,1.5500
14.8993,8.2998,1.5500,1.5500
14.8993,8.3498,1.5500,1.5500
14.8993,8.3998,1.5500,1.5500
14.8993,8.4498,1.5500,1.5500
14.8993,8.4998,1.5500,1.5500
14.8993,8.5498,1.5500,1.5500
14.8493,8.5998,1.5000,1.5000
14.8493,8.6498,1.5000,1.5000
14.8493,8.6998,1.5000,1.5000
14.8493,8.7498,1.5000,1.5000
14.8493,8.7998,1.5000,1.5000
14.8493,8.8498,1.5008,1.5008
14.8493,8.8998,1.5033,1.5033
14.7993,8.9498,1.4577,1.4577
14.7993,8.9998,1.4637,1.4637
14.7993,9.0498,1.4714,1.4714
14.7993,9.0998,1.4807,1.4807
14.7993,9.1498,1.4916,1.4916
14.7993,9.1998,1.5008,1.5008
14.7993,9.2498,1.5033,1.5033
14.7493,9.2998,1.4577,1.4577
14.7493,9.3498,1.4637,1.4637
14.7493,9.3998,1.4714,1.4714
14.7493,9.4498,1.4807,1.4807
14.7493,9.4998,1.4916,1.4916
14.7493,9.5498,1.5042,1.5042
14.7493,9.5998,1.5182,1.5182
14.7493,9.6498,1.5297,1.5297
14.6993,9.6998,1.4916,1.4916
14.6993,9.7498,1.5042,1.5042
14.6993,9.7998,1.5182,1.5182
14.6993,9.8498,1.5338,1.5338
14.6993,9.8998,1.5508,1.5508
14.6993,9.9498,1.5660,1.5660
14.6493,9.9998,1.5338,1.5338
14.6493,10.0498,1.5508,1.5508
14.6493,10.0998,1.5660,1.5660
14.5993,10.1498,1.5338,1.5338
14.5993,10.1998,1.5508,1.5508
14.5993,10.2498,1.5660,1.5660
14.5993,10.2998,1.5811,1.5811
14.5493,10.3498,1.5508,1.5508
14.5493,10.3998,1.5692,1.5692
14.5493,10.4498,1.5890,1.5890
14.4993,10.4998,1.5652,1.5652
14.4493,10.5498,1.5435,1.5435
14.4493,10.5998,1.5652,1.5652
14.3993,10.6498,1.5435,1.5435
14.3993,10.6998,1.5652,1.5652
14.3993,10.7498,1.5882,1.5882
14.3493,10.7998,1.5692,1.5692
14.3493,10.8498,1.5953,1.5953
14.2993,10.8998,1.5811,1.5811
14.2493,10.9498,1.5652,1.5652
14.2493,10.9998,1.5882,1.5882
14.1993,11.0498,1.5692,1.5692
14.1993,11.0998,1.5811,1.5811
14.1493,11.1498,1.5811,1.5811
14.1493,11.1998,1.5692,1.5692
14.0993,11.2498,1.5882,1.5882
14.0493,11.2998,1.5692,1.5692
14.0493,11.3498,1.5882,1.5882
13.9993,11.3998,1.5811,1.5811
13.9493,11.4498,1.5692,1.5692
13.8993,11.4998,1.5532,1.5532
13.8993,11.5498,1.5811,1.5811
13.8993,11.5998,1.5700,1.5700
13.8493,11.6498,1.5811,1.5811
13.7993,11.6998,1.5945,1.5945
13.7493,11.7498,1.5811,1.5811
13.7493,11.7998,1.5700,1.5700
13.6993,11.8498,1.5811,1.5811
13.6493,11.8998,1.5945,1.5945
13.5993,11.9498,1.5811,1.5811
13.5993,11.9998,1.5700,1.5700
13.5493,12.0498,1.5811,1.5811
13.4993,12.0998,1.5914,1.5914
13.4493,12.1498,1.5914,1.5914
13.3993,12.1998,1.5914,1.5914
13.3493,12.2498,1.5914,1.5914
13.2993,12.2998,1.5914,1.5914
13.2493,12.3498,1.5914,1.5914
13.1993,12.3998,1.5914,1.5914
13.1993,12.4498,1.5700,1.5700
13.1493,12.4998,1.5811,1.5811
13.0993,12.5498,1.5914,1.5914
13.0493,12.5998,1.5914,1.5914
12.9993,12.6498,1.5914,1.5914
12.9493,12.6998,1.5914,1.5914
12.8993,12.7498,1.5811,1.5811
12.8493,12.7998,1.5700,1.5700
12.7993,12.7998,1.5945,1.5945
12.7493,12.7998,1.5620,1.5620
12.6993,12.8498,1.5700,1.5700
12.6493,12.8498,1.5403,1.5403
12.5993,12.8498,1.5116,1.5116
12.5493,12.8998,1.5264,1.5264
12.4993,12.8998,1.5008,1.5008
12.4493,12.8998,1.4765,1.4765
12.3993,12.9498,1.4983,1.4983
